Algorithm,Success,Time,Steps
BFS,1,0.0,3
DFS,0,0.0,0
UCS,1,0.0,3
IDS,1,0.0,3
BFS,1,0.0,1
DFS,1,0.03301405906677246,1063
UCS,1,0.0,1
IDS,1,0.0,1
BFS,1,0.8320505619049072,19
DFS,0,0.0,0
UCS,1,1.4460031986236572,19
IDS,1,0.9649858474731445,27
BFS,1,6.149122953414917,26
DFS,0,0.0,0
UCS,1,12.372198581695557,26
IDS,1,1.7627522945404053,30
BFS,0,6.901502370834351,0
DFS,0,0.0,0
UCS,0,14.744024515151978,0
IDS,0,6.757476806640625,0
Greedy,1,0.014033794403076172,38
A*,1,0.7353522777557373,24
IDA*,1,0.8698718547821045,24
Greedy,1,0.02110600471496582,73
A*,1,0.5650386810302734,23
IDA*,1,0.7220747470855713,23
Greedy,1,0.005973100662231445,65
A*,1,0.5856995582580566,23
IDA*,1,0.6683652400970459,23
Greedy,1,0.008027315139770508,58
A*,1,0.32427549362182617,22
IDA*,1,0.3553128242492676,22
Greedy,1,0.015949726104736328,65
A*,1,0.620851993560791,23
IDA*,1,0.8228633403778076,23
SHC,1,0.0,1
S_AHC,1,0.0,1
Stochastic,1,0.0,1
SA,1,0.0,1
BeamSearch,1,0.0,1
Genetic,1,0.002034425735473633,1
SHC,0,0.0,0
S_AHC,0,0.0,0
Stochastic,0,0.0,0
SA,0,0.0,0
BeamSearch,0,0.0,0
Genetic,0,0.0,0
SHC,0,0.0,0
SHC,0,0.0,0
S_AHC,0,0.0,0
Stochastic,0,0.0,0
Genetic,0,0.055518388748168945,0
BeamSearch,1,0.0,2
SA,1,0.004544258117675781,350
Stochastic,1,0.0,2
S_AHC,1,0.0,2
SHC,1,0.0,2
QLearning,1,11.435892343521118,2
QLearning,1,14.595702409744263,3
QLearning,0,0.0,0
AND-OR,0,0.0,0
Sensorless,1,0.003524303436279297,3
Partial,0,0.0,0
AND-OR,0,0.0,0
Sensorless,0,0.0,0
Partial,0,0.0,0
AND-OR,0,0.0,0
Sensorless,0,0.0,0
Partial,0,0.0,0
Backtracking,1,1.6099565029144287,163
AC3,0,0.0,0
Testing,0,0.0,0
Backtracking,1,1.9435243244243463,597
AC3,0,0.0,0
Testing,0,0.0,0
